Date,Low,High,Open,Close,Volume,5 SMA,6 SMA,7 SMA,8 SMA,9 SMA,10 SMA,11 SMA,12 SMA,13 SMA,14 SMA,15 SMA,16 SMA,17 SMA,18 SMA,19 SMA,20 SMA,21 SMA,22 SMA,23 SMA,24 SMA,25 SMA,26 SMA,27 SMA,28 SMA,29 SMA,30 SMA,31 SMA,32 SMA,33 SMA,34 SMA,35 SMA,36 SMA,37 SMA,38 SMA,39 SMA,40 SMA,41 SMA,42 SMA,43 SMA,44 SMA,45 SMA,46 SMA,47 SMA,48 SMA,49 SMA,50 SMA
2020-03-12,101.22,195.64,194.62,110.3,1290935.348,181.528,190.8983333,198.7071429,202.44875,204.9055556,206.79,209.0927273,209.7733333,210.3530769,211.5685714,212.6393333,213.318125,215.27,218.05,221.0726316,223.123,225.1552381,226.6209091,228.013913,230.3179167,231.8264,232.8523077,234.04,235.9053571,237.0265517,238.0086667,238.0077419,237.5340625,237.2693939,236.8605882,236.4708571,235.8175,234.9575676,233.7281579,232.5920513,231.4845,230.3141463,229.11,228.0737209,226.8322727,225.7024444,224.4865217,223.2708511,221.9552083,220.7377551,219.571
2020-03-13,90,148,110.3,135.51,1322282.98,168.738,173.8583333,182.9857143,190.8075,195.0111111,197.966,200.31,202.9608333,204.0607692,205.0071429,206.498,207.81875,208.7411765,210.8388889,213.7057895,216.7945,218.9509524,221.0804545,222.6595652,224.1595833,226.5256,228.1219231,229.247037,230.5210714,232.4434483,233.6426667,234.7022581,234.8046875,234.4424242,234.2764706,233.9648571,233.6663889,233.1064865,232.3405263,231.2097436,230.165,229.1436585,228.0569048,226.9332558,225.97,224.8028889,223.7417391,222.5934043,221.4425,220.1910204,219.0332
2020-03-14,120.71,135.9,135.44,122.17,284672.8593,152.618,160.9766667,166.4742857,175.38375,183.1811111,187.727,191.0754545,193.7983333,196.7461538,198.2114286,199.4846667,201.2275,202.7805882,203.9316667,206.1721053,209.129,212.2885714,214.5518182,216.78,218.4725,220.08,222.5119231,224.1977778,225.4228571,226.7848276,228.7676667,230.0467742,231.185625,231.3915152,231.1402941,231.0734286,230.8594444,230.652973,230.1871053,229.515641,228.48375,227.5309756,226.5966667,225.5944186,224.5522727,223.6633333,222.5717391,221.5806383,220.50125,219.4165306,218.2306
2020-03-15,119.84,134.1,122.11,123.3,438391.8352,137.178,147.7316667,155.5942857,161.0775,169.5966667,177.193,181.87,185.4275,188.3753846,191.5,193.2173333,194.723125,196.6435294,198.365,199.6878947,202.0285,205.0419048,208.2436364,210.5843478,212.885,214.6656,216.3576923,218.8374074,220.5942857,221.9013793,223.3353333,225.3654839,226.7109375,227.9163636,228.2123529,228.0591429,228.0797222,227.9524324,227.8278947,227.4464103,226.86025,225.9182927,225.0492857,224.1944186,223.2695455,222.3022222,221.4815217,220.4595745,219.533125,218.517551,217.4942
2020-03-16,100.5,123.75,123.33,111.38,891238.5802,120.532,132.8783333,142.5385714,150.0675,155.5555556,163.775,171.21,175.9958333,179.7315385,182.8757143,186.1586667,188.1025,189.8205882,191.9066667,193.7868421,195.2725,197.7119048,200.7845455,204.0321739,206.4508333,208.8248,210.6930769,212.4696296,214.9996429,216.8282759,218.2173333,219.723871,221.8034375,223.2160606,224.4888235,224.8742857,224.8180556,224.9256757,224.8847368,224.8420513,224.54475,224.0436585,223.1911905,222.405814,221.6304545,220.7831111,219.8908696,219.1389362,218.1870833,217.3259184,216.3748
2020-03-17,109.66,121.49,111.36,116.09,418552.5566,121.69,119.7916667,130.48,139.2325,146.2922222,151.609,159.44,166.6166667,171.3876923,175.1857143,178.4233333,181.779375,183.8664706,185.7244444,187.9163158,189.902,191.5019048,194.0018182,197.1021739,200.3679167,202.8364,205.2580769,207.1892593,209.0275,211.5889655,213.4703333,214.9229032,216.4853125,218.6,220.0652941,221.3917143,221.8525,221.8794595,222.0615789,222.0951282,222.12325,221.8995122,221.4733333,220.7004651,219.9895455,219.2851111,218.5071739,217.6823404,216.9920833,216.1034694,215.3012
2020-03-18,110.18,118.88,116.06,118.6,306306.6098,118.308,121.175,119.6214286,128.995,136.94,143.523,148.6081818,156.0366667,162.9230769,167.6171429,171.4133333,174.684375,178.0629412,180.2405556,182.1915789,184.4505,186.5066667,188.1881818,190.7234783,193.83125,197.0972,199.5965385,202.0485185,204.0253571,205.9093103,208.4893333,210.41,211.9128125,213.5190909,215.6588235,217.1662857,218.5363889,219.0618919,219.1615789,219.4087179,219.50775,219.5982927,219.44,219.0809302,218.38,217.7364444,217.0963043,216.3814894,215.618125,214.9840816,214.1534
2020-03-19,115.72,144.44,118.59,136.68,486951.2118,121.21,121.37,123.39,121.75375,129.8488889,136.914,142.9009091,147.6141667,154.5476923,161.0485714,165.5546667,169.2425,172.4488235,175.7638889,177.9478947,179.916,182.1757143,184.2418182,185.9486957,188.4716667,191.5452,194.7734615,197.2662963,199.7139286,201.7031034,203.6016667,206.1729032,208.1059375,209.6330303,211.2591176,213.4022857,214.9305556,216.3240541,216.8939474,217.0466667,217.3405,217.487561,217.6240476,217.5153488,217.2081818,216.5644444,215.9743478,215.3853191,214.7210417,214.0071429,213.418
2020-03-20,115.51,154,136.65,133.27,626525.452,123.204,123.22,123.07,124.625,123.0333333,130.191,136.5827273,142.0983333,146.5107692,153.0278571,159.1966667,163.536875,167.1264706,170.2722222,173.5273684,175.714,177.6947619,179.9527273,182.0256522,183.75375,186.2636,189.3038462,192.4955556,194.9807143,197.4227586,199.422,201.3329032,203.8946875,205.8381818,207.3870588,209.0308571,211.1763889,212.7235135,214.1384211,214.7497436,214.95225,215.29,215.482381,215.6623256,215.6006818,215.3428889,214.7536957,214.2146809,213.6745833,213.0587755,212.3924
2020-03-21,125.84,137.64,133.35,132.79,259380.3106,127.486,124.8016667,124.5871429,124.285,125.5322222,124.009,130.4272727,136.2666667,141.3823077,145.5307143,151.6786667,157.54625,161.7282353,165.2188889,168.2994737,171.4905,173.67,175.6536364,177.9021739,179.9741667,181.7152,184.2069231,187.2107407,190.3632143,192.8362069,195.2683333,197.2725806,199.1909375,201.74,203.6897059,205.2557143,206.9130556,209.0578378,210.62,212.0525641,212.70075,212.9482927,213.3257143,213.5593023,213.7788636,213.7604444,213.5482609,213.0097872,212.5183333,212.0238776,211.4534
2020-03-22,120.9,137.38,132.79,122.42,261957.0935,128.752,126.6416667,124.4614286,124.31625,124.0777778,125.221,123.8645455,129.76,135.2015385,140.0278571,143.99,149.85,155.48,159.5444444,162.9663158,166.0055,169.1538095,171.3404545,173.3391304,175.5904167,177.672,179.4346154,181.9185185,184.8967857,188.0203448,190.489,192.9183871,194.9334375,196.8645455,199.4070588,201.3677143,202.9547222,204.6294595,206.7778947,208.3584615,209.81175,210.4987805,210.7928571,211.2116279,211.4879545,211.7486667,211.7747826,211.6093617,211.1225,210.6795918,210.2318
2020-03-23,119.2,138,122.31,137,392334.3446,132.432,130.1266667,128.1214286,126.02875,125.7255556,125.37,126.2918182,124.9591667,130.3169231,135.33,139.826,143.553125,149.0941176,154.4533333,158.3578947,161.668,164.6242857,167.6922727,169.8473913,171.825,174.0468,176.1076923,177.862963,180.3142857,183.2451724,186.3196667,188.7635484,191.1709375,193.1778788,195.1038235,197.624,199.5797222,201.1721622,202.8497368,204.9887179,206.5745,208.0358537,208.7488095,209.0767442,209.525,209.8326667,210.1236957,210.1838298,210.055,209.6097959,209.206
2020-03-24,133.04,144.16,137,139,328276.632,132.896,133.5266667,131.3942857,129.48125,127.47,127.053,126.6090909,127.3508333,126.0392308,130.9371429,135.5746667,139.774375,143.2852941,148.5333333,153.64,157.39,160.5885714,163.4595455,166.4447826,168.5620833,170.512,172.6988462,174.7333333,176.475,178.8896552,181.7703333,184.7932258,187.2084375,189.59,191.5844118,193.5008571,195.9955556,197.9424324,199.5360526,201.2125641,203.339,204.9263415,206.3921429,207.1267442,207.4840909,207.9577778,208.2928261,208.6104255,208.7008333,208.604898,208.1976
2020-03-25,132.5,142.79,138.95,136.26,228043.6338,133.494,133.4566667,133.9171429,132.0025,130.2344444,128.349,127.89,127.4133333,128.0361538,126.7692857,131.292,135.6175,139.5676471,142.895,147.8873684,152.771,156.3838095,159.4827273,162.2769565,165.1870833,167.27,169.1946154,171.3492593,173.3592857,175.0882759,177.4686667,180.3022581,183.2765625,185.6645455,188.0214706,190.0037143,191.9108333,194.3810811,196.3192105,197.9135897,199.58875,201.7029268,203.2914286,204.7611628,205.5161364,205.9013333,206.3991304,206.7602128,207.103125,207.222449,207.158
2020-03-26,133.52,140.36,136.35,139,168611.7961,134.736,134.4116667,134.2485714,134.5525,132.78,131.111,129.3172727,128.8158333,128.3046154,128.8192857,127.5846667,131.77375,135.8164706,139.5361111,142.69,147.443,152.1152381,155.5936364,158.5921739,161.3070833,164.1396,166.1826923,168.0762963,170.1939286,172.1744828,173.8853333,176.2277419,179.0115625,181.9348485,184.2920588,186.6208571,188.5869444,190.4808108,192.9236842,194.8494872,196.44075,198.1109756,200.21,201.7962791,203.2665909,204.038,204.4469565,204.9651064,205.3485417,205.7132653,205.858
2020-03-27,130,142.5,139,131.56,173786.9201,136.564,134.2066667,134.0042857,133.9125,134.22,132.658,131.1518182,129.5041667,129.0269231,128.5371429,129.002,127.833125,131.7611765,135.58,139.1163158,142.1335,146.6866667,151.1809091,154.5486957,157.4658333,160.1172,162.8865385,164.9003704,166.7721429,168.8617241,170.8206667,172.52,174.831875,177.5736364,180.4532353,182.7854286,185.0913889,187.0456757,188.9302632,191.3502564,193.26725,194.8582927,196.5264286,198.6134884,200.2,201.6731111,202.4623913,202.8961702,203.4358333,203.8426531,204.2302
2020-03-28,125.01,133.8,131.56,131.35,172811.9364,135.434,135.695,133.7985714,133.6725,133.6277778,133.933,132.5390909,131.1683333,129.6461538,129.1928571,128.7246667,129.14875,128.04,131.7383333,135.3573684,138.728,141.62,145.9895455,150.3186957,153.5820833,156.4212,159.0107692,161.7185185,163.7021429,165.5506897,167.6113333,169.5474194,171.2334375,173.5142424,176.2141176,179.0502857,181.3566667,183.6389189,185.58,187.4538462,189.85025,191.7570732,193.3461905,195.0106977,197.0847727,198.67,200.1443478,200.9493617,201.405625,201.9646939,202.3928
